id|tituloPincipal|tituloOriginal|anoLancamento|tempoMinutos|genero|notaMedia|numeroVotos|generoArtista|personagem|nomeArtista|anoNascimento|anoFalecimento|profissao|titulosMaisConhecidos
tt0004026|The Golem|Der Golem|1914|60|Horror|6.7|1189|actor|Troedler|Henrik Galeen|1881|1949|writer,director,actor|tt0013442,tt0017438,tt0004026,tt0017621
tt0004573|Ein seltsamer Fall|Ein seltsamer Fall|1914|50|Horror|5.8|14|actress|\N|Lotte Neumann|1896|1977|actress,writer,producer|tt0441378,tt6351106,tt6351314,tt6351200
tt0006238|Zhenshchina vampir|Zhenshchina vampir|1915|\N|Horror|7.6|37|actor|\N|A. Michurin|\N|\N|actor|tt0006238,tt0422103,tt0155178
tt0007983|Furcht|Furcht|1917|72|Horror|6.2|184|actress|Gräfin|Mechthildis Thein|1888|1959|actress|tt0006820,tt0442439,tt0009238,tt0130005
tt0008099|Hilde Warren und der Tod|Hilde Warren und der Tod|1917|80|Horror|5.8|128|actor|Hotelarzt|Hermann Picha|1865|1936|actor|tt0020067,tt0434327,tt0016992,tt0128964
tt0010793|The Dance of Death|Der Totentanz|1919|84|Horror|7.2|21|actor|\N|Richard Kirsch|\N|\N|actor,director|tt0130228,tt0440583,tt1280690,tt1207685
tt0011031|The Hunchback and the Dancer|Der Bucklige und die Tänzerin|1920|50|Horror|6.3|78|actress|Gina|Sascha Gura|1896|1946|actress|tt0459565,tt0136462,tt0011031,tt0131630
tt0011221|Genuine: The Tragedy of a Vampire|Genuine|1920|88|Horror|5.9|1055|actor|Florian|Hans Heinrich von Twardowski|1898|1958|actor,writer|tt0010323,tt0035966,tt0025746,tt0014146
tt0011348|The Head of Janus|Der Januskopf|1920|107|Horror|7.6|151|actor|Dr. Warrens Freund|Magnus Stifter|1878|1943|actor,director,editor|tt0132097,tt0013199,tt0013469,tt0435728
tt0014188|The Last Moment|The Last Moment|1923|60|Horror|4.4|19|actor|Big Mike|William Nally|\N|1929|actor|tt0398087,tt0011683,tt0013593,tt0014365
tt0014602|While Paris Sleeps|While Paris Sleeps|1923|60|Horror|7.1|42|actor|Henri Santodos|Lon Chaney|1883|1930|actor,director,writer|tt0011565,tt0016220,tt0014972,tt0016473
tt0016220|The Phantom of the Opera|The Phantom of the Opera|1925|93|Horror|7.5|18765|actor|The Phantom|Lon Chaney|1883|1930|actor,director,writer|tt0011565,tt0016220,tt0014972,tt0016473
tt0018097|London After Midnight|London After Midnight|1927|69|Horror|6.7|1377|actor|Professor Edward C. Burke|Lon Chaney|1883|1930|actor,director,writer|tt0011565,tt0016220,tt0014972,tt0016473
tt0020430|The Somnambulist|Somnambul|1929|\N|Horror|4.4|18|actress|Helga seine Frau|Erna Morena|1885|1962|actress,writer,producer|tt7938516,tt1407203,tt0008971,tt0009677
tt0022929|Secret of the Blue Room|Geheimnis des blauen Zimmers|1932|73|Horror|7.1|21|actor|Frank Färber|Wolfgang Staudte|1906|1984|director,actor,writer|tt0047940,tt0038769,tt0041826,tt0053996
tt0023235|The Monkey's Paw|The Monkey's Paw|1933|58|Horror|7.0|104|actress|Mrs. White|Louise Carter|1875|1957|actress|tt0032081,tt0023169,tt0022725,tt0023042
tt0023694|White Zombie|White Zombie|1932|69|Horror|6.3|10825|actress|Madeline Short Parker|Madge Bellamy|1899|1990|actress|tt0016653,tt0024503,tt0023694,tt0016013
tt0026123|The Black Room|The Black Room|1935|68|Horror|6.9|2058|actress|Thea Hassel|Marian Marsh|1913|2006|actress,soundtrack|tt0021647,tt0033928,tt0022454,tt0026246
tt0026209|Chloe, Love Is Calling You|Chloe, Love Is Calling You|1934|62|Horror|3.5|302|actress|Chloe|Olive Borden|1906|1947|actress|tt0019390,tt0018926,tt0016744,tt0018046
tt0026832|Ouanga|Ouanga|1936|56|Horror|4.6|88|actor|Adam Maynard|Philip Brandon|1898|1982|assistant_director,producer,production_manager|tt0171866,tt0040338,tt0035538,tt0035069
tt0027055|Der Student von Prag|Der Student von Prag|1935|87|Horror|7.0|169|actor|Balduin|Anton Walbrook|1896|1967|actor,soundtrack|tt0040725,tt0036112,tt0031359,tt0033627
tt0032215|The Ape|The Ape|1940|62|Horror|4.6|1886|actor|Danny Foster|Gene O'Donnell|1911|1992|actor|tt0034754,tt0032215,tt0040031,tt0035199
tt0033075|Son of Ingagi|Son of Ingagi|1940|70|Horror|4.2|294|actress|Eleanor Lindsay|Daisy Bufford|1913|1987|actress|tt0029592,tt0027636,tt0135378,tt0030389
tt0037217|Return of the Ape Man|Return of the Ape Man|1944|60|Horror|4.8|375|actor|Ape Man|George Zucco|1886|1960|actor|tt0031022,tt0035009,tt0036931,tt0031143
tt0038214|The Vampire's Ghost|The Vampire's Ghost|1945|59|Horror|5.9|512|actor|Webb Fallon|John Abbott|1905|1996|actor,soundtrack|tt0039133,tt0034988,tt0061852,tt0051658
tt0038470|Devil Bat's Daughter|Devil Bat's Daughter|1946|67|Horror|4.4|240|actress|Ellen Masters Morris|Molly Lamont|1910|2001|actress,soundtrack|tt0026542,tt0027830,tt0028597,tt0041904
